Tugas,Tanggal,Waktu ,Latitude,Longitude,Altitude,Cuaca,Suhu Udara,Precipitation,Kelembapan,NpK,pH,Foto
1,21/05/2024,9:51:00,-8.5676851,115.4694639,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 1_aug_0.jpg
2,21/05/2024,10:06:00,-8.5676812,115.4099071,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 2_aug_1.jpg
3,21/05/2024,10:08:00,-8.567478,115.409755,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 3_aug_2.jpg
4,21/05/2024,10:10:00,-8.56719,115.41007,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh4_aug_3.jpg
5,21/05/2024,10:13:00,-8.567238,115.41096,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh5_aug_4.jpg
6,21/05/2024,10:16:00,-8.567438,115.41108,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh6_aug_5.jpg
7,21/05/2024,10:18:00,-8.567355,115.411423,1 mdpl,Cerah Berawan,28°C,10%,84%,6.1,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh7_aug_6.jpg
8,21/05/2024,10:21:00,-8.567854,115.411653,1 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh8_aug_7.jpg
9,21/05/2024,10:22:00,-8.567941,115.411646,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh9_aug_8.jpg
10,21/05/2024,10:24:00,-8.56835,115.411548,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh10_aug_9.jpg
11,21/05/2024,10:31:00,-8.568535,115.408873,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/11_aug_10.jpg
12,21/05/2024,10:34:00,-8.568321,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/12_aug_11.jpg
13,21/05/2024,10:35:00,-8.568115,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/13_aug_12.jpg
