h,V,C,x
10RP,1,2,0.3629
10RP,1,4,0.3920
10RP,1,6,0.4151
10RP,1,8,0.4357
10RP,1,10,0.4521
10RP,1,12,0.4668
2.5R,1,2,0.3768
2.5R,1,4,0.4166
2.5R,1,6,0.4515
2.5R,1,8,0.4812
2.5R,1,10,0.5058
5R,1,2,0.3908
5R,1,4,0.4420
5R,1,6,0.4885
5R,1,8,0.5282
5R,1,10,0.5604
7.5R,1,2,0.4020
7.5R,1,4,0.4660
7.5R,1,6,0.5235
7.5R,1,8,0.5722
7.5R,1,10,0.6111
10R,1,2,0.4128
10R,1,4,0.4933
10R,1,6,0.5584
10R,1,8,0.6178
10R,1,10,0.6661
2.5YR,1,2,0.4258
2.5YR,1,4,0.5311
2.5YR,1,6,0.6048
2.5YR,1,8,0.6721
5YR,1,2,0.4377
5YR,1,4,0.5660
7.5YR,1,2,0.4430
10YR,1,2,0.4446
2.5Y,1,2,0.4362
5Y,1,2,0.4230
7.5Y,1,2,0.4042
10Y,1,2,0.3802
2.5GY,1,2,0.3540
5GY,1,2,0.3359
5GY,1,4,0.3765
7.5GY,1,2,0.3154
7.5GY,1,4,0.3133
10GY,1,2,0.3006
10GY,1,4,0.2722
10GY,1,6,0.2232
2.5G,1,2,0.2910
2.5G,1,4,0.2454
2.5G,1,6,0.1711
2.5G,1,8,0.0620
5G,1,2,0.2833
5G,1,4,0.2290
5G,1,6,0.1468
5G,1,8,0.0559
7.5G,1,2,0.2758
7.5G,1,4,0.2159
7.5G,1,6,0.1344
7.5G,1,8,0.0530
10G,1,2,0.2689
10G,1,4,0.2040
10G,1,6,0.1249
10G,1,8,0.0511
2.5BG,1,2,0.2600
2.5BG,1,4,0.1883
2.5BG,1,6,0.1169
2.5BG,1,8,0.0476
5BG,1,2,0.2500
5BG,1,4,0.1753
5BG,1,6,0.1093
7.5BG,1,2,0.2430
7.5BG,1,4,0.1702
7.5BG,1,6,0.1059
10BG,1,2,0.2362
10BG,1,4,0.1658
10BG,1,6,0.1074
2.5B,1,2,0.2322
2.5B,1,4,0.1649
2.5B,1,6,0.1118
5B,1,2,0.2291
5B,1,4,0.1667
5B,1,6,0.1212
7.5B,1,2,0.2291
7.5B,1,4,0.1716
7.5B,1,6,0.1303
7.5B,1,8,0.0968
10B,1,2,0.2309
10B,1,4,0.1783
10B,1,6,0.1392
10B,1,8,0.1077
2.5PB,1,2,0.2360
2.5PB,1,4,0.1895
2.5PB,1,6,0.1539
2.5PB,1,8,0.1273
5PB,1,2,0.2427
5PB,1,4,0.2012
5PB,1,6,0.1678
5PB,1,8,0.1447
5PB,1,10,0.1285
7.5PB,1,2,0.2547
7.5PB,1,4,0.2232
7.5PB,1,6,0.2000
7.5PB,1,8,0.1872
7.5PB,1,10,0.1804
7.5PB,1,12,0.1763
7.5PB,1,14,0.1738
7.5PB,1,16,0.1720
7.5PB,1,18,0.1709
7.5PB,1,20,0.1701
7.5PB,1,22,0.1696
7.5PB,1,24,0.1691
7.5PB,1,26,0.1689
7.5PB,1,28,0.1686
7.5PB,1,30,0.1684
7.5PB,1,32,0.1682
7.5PB,1,34,0.1682
7.5PB,1,36,0.1681
7.5PB,1,38,0.1680
10PB,1,2,0.2677
10PB,1,4,0.2459
10PB,1,6,0.2290
10PB,1,8,0.2190
